"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
2825.51912208021,-6.95529965567482
3038.5283205312,-6.14992125256954
3267.59577824867,-5.32782420044724
3513.9320893879,-4.49135391492245
3778.83911193202,-3.64900091095636
4063.71684785592,-2.81312821266983
4370.07084196951,-2.00840599951004
4699.52013854219,-1.27073745708836
5053.80583775848,-0.652195934711299
5434.80029722451,-0.211812514201518
5844.51702715438,-0.00719127310449515
6285.12133153112,-0.0710132346493327
6758.94175147967,-0.392113171950805
7268.48237132856,-0.923558126979579
7816.43605239656,-1.60532116675268
8405.6986644431,-2.37902526044034
9039.3843899941,-3.20054536021893
9720.84218242465,-4.04214108927712
10453.6734647776,-4.88184119149593
11241.7511628543,-5.71092586560083
12089.2401731648,-6.52494854740934
13000.6193739085,-7.32108222717801
13980.7052953104,-8.09850402577548
15034.6775744083,-8.86066500586004
16168.1063288158,-9.60517349529635
17386.9815941285,-10.335454520989
18697.7449805467,-11.0534368133288
20107.3237160165,-11.7618035598968
21623.1672558011,-12.4542947821037
23253.2866519633,-13.1398523392181
25006.2968908178,-13.8182653060464
26891.4624221058,-14.4913089369087
28918.7461205048,-15.1609679097062
31098.8619382315,-15.8219102098709
33443.331527,-16.4763011768528
35964.5451285744,-17.1286459378612
38675.8270557171,-17.7805854717489
41591.5061095904,-18.4254881342842
44726.9913057588,-19.0654107023679
48098.8533089967,-19.7084366150126
51724.9120072717,-20.3470698494508
55624.3306877249,-20.9777921193496
59817.7173123541,-21.6162033552577
64327.2334286322,-22.2434125495171
69176.7112906383,-22.8742856045271
74391.7798096743,-23.498804703378
80000,-24.1281137248644

